<<<<<<< HEAD
Phenotypes,AB,Ab,aB,ab,Total
Observed (Oi),87,29,32,12,160
Expected (Ei),$\frac{9}{16}\ \times 160$ =90,$\frac{3}{16}\ \times 160$ =30,$\frac{3}{16}\ \times 160$ =30,$\frac{1}{16}\ \times 160$ =10,160
$$\mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}}$$,-3,-1,2,2,
$$\left( \mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}} \right)^{\mathbf{2}}$$,9,1,4,4,
$$\frac{\left( \mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}} \right)^{\mathbf{2}}}{\mathbf{E}_{\mathbf{i}}}$$,0.11,0.033,0.133,0.4,0.676
=======
Phenotypes,AB,Ab,aB,ab,Total
Observed (Oi),87,29,32,12,160
Expected (Ei),$\frac{9}{16}\ \times 160$ =90,$\frac{3}{16}\ \times 160$ =30,$\frac{3}{16}\ \times 160$ =30,$\frac{1}{16}\ \times 160$ =10,160
$$\mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}}$$,-3,-1,2,2,
$$\left( \mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}} \right)^{\mathbf{2}}$$,9,1,4,4,
$$\frac{\left( \mathbf{O}_{\mathbf{i}}\mathbf{-}\mathbf{E}_{\mathbf{i}} \right)^{\mathbf{2}}}{\mathbf{E}_{\mathbf{i}}}$$,0.11,0.033,0.133,0.4,0.676
>>>>>>> d548f399770035f7bb22948635d0f655d0551b09
